chit_id,chitnumber,payment_weeks,amount_per_week,total_amount,overdue_fees,cash_received,balance,total_paid_week,timestamp,num_of_chits
1,MCCF0001,2,100,200,0,200,0,2,24.10.19,1
1,MCCF0001,4,100,400,0,400,0,6,24.11.11,1
1,MCCF0001,2,100,200,0,200,0,8,24.11.24,1
1,MCCF0001,4,100,400,0,400,0,12,24.12.18,1
1,MCCF0001,7,100,700,0,700,0,19,25.01.30,1
1,MCCF0001,5,100,500,0,500,0,24,25.03.09,1
1,MCCF0001,5,100,500,0,500,0,29,25.04.06,1
2,MCCF0002,2,100,200,0,200,0,2,24.10.20,1
2,MCCF0002,2,100,200,0,200,0,4,24.10.23,1
2,MCCF0002,4,100,400,0,400,0,8,24.11.10,1
2,MCCF0002,4,100,400,0,400,0,12,24.11.30,1
2,MCCF0002,4,100,400,0,400,0,16,25.01.08,1
2,MCCF0002,4,100,400,0,400,0,20,25.02.04,1
2,MCCF0002,4,100,400,0,400,0,24,25.03.09,1
2,MCCF0002,4,100,400,0,400,0,28,25.04.05,1
2,MCCF0002,5,100,500,0,500,0,33,25.04.27,1
3,MCCF0003,2,100,200,0,200,0,2,24.10.20,1
3,MCCF0003,1,100,100,0,100,0,3,24.10.27,1
3,MCCF0003,3,100,300,0,300,0,6,24.11.18,1
3,MCCF0003,5,100,500,0,500,0,11,24.12.11,1
3,MCCF0003,5,100,500,0,500,0,16,25.01.06,1
3,MCCF0003,5,100,500,0,500,0,21,25.02.21,1
3,MCCF0003,9,100,900,0,900,0,30,25.04.15,1
3,MCCF0003,5,100,500,0,500,0,35,24.05.11,1
4,MCCF0004,1,100,100,0,100,0,1,24.10.23,1
6,MCCF0006,5,100,500,0,500,0,5,24.10.25,1
6,MCCF0006,5,100,500,0,500,0,10,24.11.07,1
6,MCCF0006,5,100,500,0,500,0,15,24.12.01,1
6,MCCF0006,5,100,500,0,500,0,20,24.12.31,1
6,MCCF0006,5,100,500,0,500,0,25,25.02.01,1
6,MCCF0006,10,100,1000,0,1000,0,35,25.04.02,1
6,MCCF0006,5,100,500,0,500,0,40,25.05.08,1
7,MCCF0007,2,100,200,0,200,0,2,24.10.28,1
7,MCCF0007,5,100,500,0,500,0,7,24.11.11,1
9,MCCF0009,4,100,400,0,400,0,4,24.10.29,1
9,MCCF0009,1,100,100,0,100,0,5,24.11.12,1
9,MCCF0009,1,100,100,0,100,0,6,24.11.17,1
9,MCCF0009,1,100,100,0,100,0,7,24.11.23,1
9,MCCF0009,1,100,100,0,100,0,8,24.12.06,1
9,MCCF0009,1,100,100,0,100,0,9,24.12.12,1
9,MCCF0009,1,100,100,0,100,0,10,24.12.14,1
9,MCCF0009,2,100,200,0,200,0,12,24.12.25,1
9,MCCF0009,1,100,100,0,100,0,13,25.01.04,1
9,MCCF0009,1,100,100,0,100,0,14,25.01.12,1
9,MCCF0009,1,100,100,0,100,0,15,25.01.24,1
9,MCCF0009,1,100,100,0,100,0,16,25.01.28,1
9,MCCF0009,1,100,100,0,100,0,17,25.02.02,1
9,MCCF0009,3,100,300,0,300,0,20,25.02.20,1
9,MCCF0009,3,100,300,0,300,0,23,25.03.07,1
